Hand
 King of Clubs     Seven of Diamonds  Queen of Spades      Six of Hearts  
Deuce of Diamonds   Four of Hearts    Eight of Diamonds   Five of Spades  
Deck
Queen of Hearts     Jack of Spades     Five of Diamonds   King of Spades  
  Ten of Clubs     Queen of Diamonds   Nine of Spades    Queen of Clubs   
 Four of Diamonds  Deuce of Spades      Ace of Diamonds  Eight of Spades  
 Jack of Clubs       Ace of Hearts      Ace of Clubs       Six of Diamonds
  Ten of Spades     Nine of Diamonds  Three of Clubs       Ace of Spades  
Three of Hearts    Three of Spades      Six of Clubs     Deuce of Hearts  
 Four of Clubs     Seven of Clubs      Five of Clubs      King of Diamonds
 Four of Spades      Six of Spades      Ten of Hearts    Seven of Hearts  
Seven of Spades    Three of Diamonds   Five of Hearts     Nine of Hearts  
 King of Hearts      Ten of Diamonds  Deuce of Clubs     Eight of Hearts  
 Jack of Diamonds   Nine of Clubs     Eight of Clubs      Jack of Hearts  
